type,prompt,choice1,choice2,choice3,choice4,choice5,choice6,correct_choices,points,difficulty,tags
MULTIPLE_CHOICE,"Under the IRAC method commonly taught in Legal Method, what does the second letter stand for?","Interpretation","Issue","Injunction","Instruction",,,2,1,EASY,legal-method
TRUE_FALSE,"Ratio decidendi refers to the binding legal principle a court relied on to reach its decision, as distinguished from obiter dictum.","True","False",,,,,1,1,EASY,legal-method
MULTIPLE_CHOICE,"In the Philippine hierarchy of laws, which of the following has the highest authority?","A Department Administrative Order","An ordinance passed by a Sangguniang Bayan","The 1987 Philippine Constitution","A Supreme Court Circular",,,3,1,EASY,legal-method
MULTIPLE_RESPONSE,"Which of the following are generally considered primary sources of Philippine law? (select all that apply)","The Constitution","Statutes enacted by Congress","A law review article","Supreme Court decisions","A legal textbook",,"1,2,4",2,MEDIUM,legal-method
MULTIPLE_CHOICE,"Under the doctrine of stare decisis, a lower court is generally expected to:","Disregard prior Supreme Court rulings if it disagrees with the reasoning","Follow the precedent set by a higher court in a case with substantially similar facts","Only follow precedent if both parties agree to it","Apply precedent solely at the judge's discretion",,,2,1,MEDIUM,legal-method
SHORT_ANSWER,"In one or two sentences, distinguish obiter dictum from ratio decidendi.",,,,,,,,3,MEDIUM,legal-method
MULTIPLE_CHOICE,"In legal writing, the primary purpose of a case citation (e.g., G.R. No. 123456, January 1, 2020) is to:","Make the document appear more formal","Allow the reader to locate and verify the source being relied upon","Satisfy a word-count requirement","Indicate the writer's law school",,,2,1,EASY,legal-writing
TRUE_FALSE,"Effective legal writing favors plain, precise language over unnecessarily archaic legal jargon (e.g., 'witnesseth', 'the party of the first part') whenever clarity is not sacrificed.","True","False",,,,,1,1,EASY,legal-writing
MULTIPLE_RESPONSE,"Which of the following are standard components of a traditional case brief? (select all that apply)","Facts","Issue","Holding","Ratio/Reasoning","The judge's personal biography",,"1,2,3,4",2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"Which canon of statutory construction provides that when a law is clear and unambiguous, it must be applied as written without further interpretation?","Ejusdem generis","Verba legis (plain meaning rule)","Expressio unius est exclusio alterius","Noscitur a sociis",,,2,2,HARD,legal-method
MULTIPLE_CHOICE,"The canon 'ejusdem generis' provides that where general words follow an enumeration of specific things, the general words are construed to:","Include absolutely anything, without limitation","Be ignored entirely","Be limited to things of the same kind or class as those specifically listed","Override the specific enumeration that precedes them",,,3,2,HARD,legal-method
MULTIPLE_CHOICE,"The maxim 'expressio unius est exclusio alterius' means:","The express mention of one thing excludes others not mentioned","Words are known by the company they keep","A law once repealed can never be revived","General words control specific ones",,,1,2,HARD,legal-method
MULTIPLE_CHOICE,"The canon 'noscitur a sociis' is best summarized as:","A statute must be read in its entirety, not in isolated parts","A word takes its meaning from the words associated with it in the text","Later laws repeal earlier inconsistent laws","Penal statutes are construed strictly against the State",,,2,2,HARD,legal-method
MULTIPLE_CHOICE,"'Statutes in pari materia' refers to laws that:","Were passed in the same calendar year","Relate to the same subject matter and should be construed together","Were authored by the same legislator","Have already been declared unconstitutional",,,2,2,HARD,legal-method
TRUE_FALSE,"Republic Acts (R.A.) are, as a general rule, laws enacted by the Philippine Congress after the 1987 Constitution took effect (with the numbering series continuing from the earlier pre-Martial Law Congress).","True","False",,,,,1,1,MEDIUM,legal-method
MULTIPLE_CHOICE,"Under the 1987 Constitution, which branch of government has the power to interpret the law with finality?","The Legislative branch, through Congress","The Executive branch, through the President","The Judiciary, through the courts","The Commission on Elections",,,3,1,EASY,legal-method
MULTIPLE_CHOICE,"The doctrine of separation of powers primarily aims to:","Concentrate authority in a single branch for efficiency","Prevent the concentration of power in one branch by dividing government into distinct branches with defined functions","Eliminate the need for a judiciary","Give the Executive branch supremacy over the other branches",,,2,1,EASY,legal-method
MULTIPLE_RESPONSE,"Which of the following are the three traditional branches of Philippine government under the 1987 Constitution? (select all that apply)","Legislative","Executive","Judicial","Ecclesiastical","Military",,"1,2,3",1,EASY,legal-method
MULTIPLE_CHOICE,"'Original jurisdiction' refers to a court's power to:","Review decisions already rendered by a lower court","Hear and decide a case for the first time","Issue advisory opinions only","Try only criminal cases",,,2,1,EASY,legal-method
MULTIPLE_CHOICE,"The doctrine of exhaustion of administrative remedies generally requires a party to:","Skip administrative agencies and go directly to court","First avail of and exhaust all remedies available within the relevant administrative agency before seeking judicial relief","File a case in every possible court simultaneously","Wait indefinitely before filing any case",,,2,2,MEDIUM,legal-method
MULTIPLE_CHOICE,"In the regular Philippine court structure, decisions of the Regional Trial Court are generally appealable, in the first instance, to which court?","The Supreme Court directly","The Court of Appeals","The Sandiganbayan","The Court of Tax Appeals",,,2,1,MEDIUM,legal-method
TRUE_FALSE,"The Supreme Court of the Philippines may decide cases either sitting en banc (all justices) or through one of its divisions, depending on the nature and requirements of the case.","True","False",,,,,1,1,MEDIUM,legal-method
MULTIPLE_CHOICE,"'Res judicata' is a doctrine that generally bars:","The filing of any case involving government agencies","The re-litigation of a matter that has already been finally decided between the same parties","Appeals of any kind","Settlement between the parties",,,2,2,MEDIUM,legal-method
MULTIPLE_CHOICE,"The legal maxim 'ignorantia legis neminem excusat' means:","Judges must explain the law to every litigant","Ignorance of the law excuses no one","Only lawyers are bound by the law","Unwritten laws do not bind anyone",,,2,1,EASY,legal-method
MULTIPLE_CHOICE,"The maxim 'dura lex sed lex' is commonly translated as:","The law is easy, and forgiving","The law is harsh, but it is the law","Laws should always be lenient","The law changes with public opinion",,,2,1,EASY,legal-method
MULTIPLE_CHOICE,"The maxim 'in pari delicto' generally applies when:","Both parties to an illegal or void agreement are equally at fault, barring either from seeking judicial relief against the other on that agreement","One party is entirely innocent of any wrongdoing","A contract has been fully performed by both sides","Neither party has any obligation whatsoever",,,1,2,HARD,legal-method
MULTIPLE_CHOICE,"Presidential Decrees (P.D.s) in Philippine legal history were primarily issued:","By the President exercising legislative power during the Martial Law era under the 1973 Constitution","By local government units","By the Supreme Court","By the Bureau of Internal Revenue only",,,1,2,MEDIUM,legal-method
MULTIPLE_CHOICE,"Batas Pambansa (B.P.) laws were enacted by:","The post-1987 bicameral Congress","The Interim and Regular Batasang Pambansa under the 1973 Constitution","The Supreme Court en banc","Provincial governors",,,2,2,MEDIUM,legal-method
MULTIPLE_CHOICE,"As a general rule under Article 4 of the Civil Code, laws shall have:","Retroactive effect in all cases","No retroactive effect, unless the law itself provides otherwise","Effect only in Metro Manila","Effect only after 10 years from publication",,,2,1,MEDIUM,legal-method
MULTIPLE_CHOICE,"The 'doctrine of operative fact' generally recognizes that:","An unconstitutional law can never have any legal consequence whatsoever, even for the period before it was struck down","Certain legal effects that occurred before a law was declared unconstitutional or invalid may still be recognized as valid, as a matter of fairness and practicality","Only criminal laws can be given operative effect","Administrative rules can never be questioned",,,2,3,HARD,legal-method
MULTIPLE_CHOICE,"'Judicial notice' allows a court to:","Recognize certain facts as true without requiring formal proof, because they are of common knowledge or capable of unquestionable verification","Ignore all evidence presented by either party","Refuse to render any decision","Delegate fact-finding entirely to a jury",,,1,2,MEDIUM,legal-method
MULTIPLE_CHOICE,"The 'political question doctrine' generally refers to matters that:","Courts are required to decide first, before any other case","Are committed by the Constitution to the discretion of the political branches (Executive or Legislative) and are therefore generally beyond judicial review","Only the electorate may vote on directly","Must always be resolved by the Ombudsman",,,2,3,HARD,legal-method
SHORT_ANSWER,"In one or two sentences, explain what the political question doctrine generally means and why courts historically hesitated to rule on such matters.",,,,,,,,3,HARD,legal-method
MULTIPLE_CHOICE,"In a legal memorandum, the purpose of the 'Brief Answer' section is to:","Provide an exhaustive, page-long analysis of every possible argument","Give a short, direct answer to the question presented, before the fuller discussion follows","List the writer's personal opinions on the client","Replace the need for a Facts section entirely",,,2,1,EASY,legal-writing
MULTIPLE_RESPONSE,"Which of the following are typical components of a legal memorandum? (select all that apply)","Question Presented","Brief Answer","Statement of Facts","Discussion/Analysis","A dedication page to the reader",,"1,2,3,4",2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"A key difference between persuasive legal writing (e.g., an appellate brief) and objective/predictive legal writing (e.g., an office memorandum) is that persuasive writing:","Must never cite any authority","Advocates for one particular outcome, while objective writing neutrally evaluates both sides","Is always shorter than objective writing","Cannot discuss weaknesses in the writer's own position",,,2,2,MEDIUM,legal-writing
MULTIPLE_CHOICE,"The primary purpose of a demand letter is to:","Immediately file a case in court","Formally notify the other party of a claim and demand compliance or settlement before resorting to litigation","Serve as a substitute for a final judgment","Waive the sender's legal rights",,,2,1,EASY,legal-writing
